scientific_name,common_name,version_year,region_name,season_name,start_dt,end_dt,Percent of the total population,State Latitude,State Longitude
Charadrius vociferus,Killdeer,2019,Massachusetts,postbreeding_migration,7/13/18,12/14/18,0.001,42.407211,-71.382439
Charadrius vociferus,Killdeer,2019,Massachusetts,prebreeding_migration,2/1/18,4/19/18,8.00E-04,42.407211,-71.382439
Charadrius vociferus,Killdeer,2019,Maryland,breeding,4/26/18,6/28/18,0.0014,39.045753,-76.641273
Charadrius vociferus,Killdeer,2019,Maryland,nonbreeding,12/21/18,1/25/18,0.0035,39.045753,-76.641273
Charadrius vociferus,Killdeer,2019,Maryland,postbreeding_migration,7/13/18,12/14/18,0.0029,39.045753,-76.641273
Charadrius vociferus,Killdeer,2019,Maryland,prebreeding_migration,2/1/18,4/19/18,0.0025,39.045753,-76.641273
Charadrius vociferus,Killdeer,2019,Maine,breeding,4/26/18,6/28/18,8.00E-04,45.367584,-68.972168
Charadrius vociferus,Killdeer,2019,Maine,nonbreeding,12/21/18,1/25/18,0,45.367584,-68.972168
Charadrius vociferus,Killdeer,2019,Maine,postbreeding_migration,7/13/18,12/14/18,3.00E-04,45.367584,-68.972168
Charadrius vociferus,Killdeer,2019,Maine,prebreeding_migration,2/1/18,4/19/18,4.00E-04,45.367584,-68.972168
Charadrius vociferus,Killdeer,2019,Michigan,breeding,4/26/18,6/28/18,0.0106,44.182205,-84.506836
Charadrius vociferus,Killdeer,2019,Michigan,nonbreeding,12/21/18,1/25/18,0,44.182205,-84.506836
Charadrius vociferus,Killdeer,2019,Michigan,postbreeding_migration,7/13/18,12/14/18,0.0109,44.182205,-84.506836
Charadrius vociferus,Killdeer,2019,Michigan,prebreeding_migration,2/1/18,4/19/18,0.0083,44.182205,-84.506836
Charadrius vociferus,Killdeer,2019,Minnesota,breeding,4/26/18,6/28/18,0.0304,46.39241,-94.63623
Charadrius vociferus,Killdeer,2019,Minnesota,nonbreeding,12/21/18,1/25/18,0,46.39241,-94.63623
Charadrius vociferus,Killdeer,2019,Minnesota,postbreeding_migration,7/13/18,12/14/18,0.0173,46.39241,-94.63623
Charadrius vociferus,Killdeer,2019,Minnesota,prebreeding_migration,2/1/18,4/19/18,0.0107,46.39241,-94.63623
Charadrius vociferus,Killdeer,2019,Missouri,breeding,4/26/18,6/28/18,0.0209,38.573936,-92.60376
Charadrius vociferus,Killdeer,2019,Missouri,nonbreeding,12/21/18,1/25/18,0.0165,38.573936,-92.60376
Charadrius vociferus,Killdeer,2019,Missouri,postbreeding_migration,7/13/18,12/14/18,0.0332,38.573936,-92.60376
Charadrius vociferus,Killdeer,2019,Missouri,prebreeding_migration,2/1/18,4/19/18,0.0359,38.573936,-92.60376
Charadrius vociferus,Killdeer,2019,Mississippi,breeding,4/26/18,6/28/18,0.0158,33,-90
Charadrius vociferus,Killdeer,2019,Mississippi,nonbreeding,12/21/18,1/25/18,0.089,33,-90
Charadrius vociferus,Killdeer,2019,Mississippi,postbreeding_migration,7/13/18,12/14/18,0.0397,33,-90
Charadrius vociferus,Killdeer,2019,Mississippi,prebreeding_migration,2/1/18,4/19/18,0.0497,33,-90
Charadrius vociferus,Killdeer,2019,Montana,breeding,4/26/18,6/28/18,0.043,46.96526,-109.533691
Charadrius vociferus,Killdeer,2019,Montana,nonbreeding,12/21/18,1/25/18,1.00E-04,46.96526,-109.533691
Charadrius vociferus,Killdeer,2019,Montana,postbreeding_migration,7/13/18,12/14/18,0.0218,46.96526,-109.533691
Charadrius vociferus,Killdeer,2019,Montana,prebreeding_migration,2/1/18,4/19/18,0.0113,46.96526,-109.533691
Charadrius vociferus,Killdeer,2019,North Carolina,breeding,4/26/18,6/28/18,0.0084,35.782169,-80.793457
Charadrius vociferus,Killdeer,2019,North Carolina,nonbreeding,12/21/18,1/25/18,0.0427,35.782169,-80.793457
Charadrius vociferus,Killdeer,2019,North Carolina,postbreeding_migration,7/13/18,12/14/18,0.0183,35.782169,-80.793457
Charadrius vociferus,Killdeer,2019,North Carolina,prebreeding_migration,2/1/18,4/19/18,0.0176,35.782169,-80.793457
Charadrius vociferus,Killdeer,2019,North Dakota,breeding,4/26/18,6/28/18,0.0576,47.650589,-100.437012
Charadrius vociferus,Killdeer,2019,North Dakota,nonbreeding,12/21/18,1/25/18,0,47.650589,-100.437012
Charadrius vociferus,Killdeer,2019,North Dakota,postbreeding_migration,7/13/18,12/14/18,0.0317,47.650589,-100.437012
Charadrius vociferus,Killdeer,2019,North Dakota,prebreeding_migration,2/1/18,4/19/18,0.0104,47.650589,-100.437012
Charadrius vociferus,Killdeer,2019,Nebraska,breeding,4/26/18,6/28/18,0.0401,41.5,-100
Charadrius vociferus,Killdeer,2019,Nebraska,nonbreeding,12/21/18,1/25/18,0,41.5,-100
Charadrius vociferus,Killdeer,2019,Nebraska,postbreeding_migration,7/13/18,12/14/18,0.0326,41.5,-100
Charadrius vociferus,Killdeer,2019,Nebraska,prebreeding_migration,2/1/18,4/19/18,0.022,41.5,-100
Charadrius vociferus,Killdeer,2019,New Hampshire,breeding,4/26/18,6/28/18,4.00E-04,44,-71.5
Charadrius vociferus,Killdeer,2019,New Hampshire,nonbreeding,12/21/18,1/25/18,0,44,-71.5
Charadrius vociferus,Killdeer,2019,New Hampshire,postbreeding_migration,7/13/18,12/14/18,3.00E-04,44,-71.5
Charadrius vociferus,Killdeer,2019,New Hampshire,prebreeding_migration,2/1/18,4/19/18,3.00E-04,44,-71.5
Charadrius vociferus,Killdeer,2019,New Jersey,breeding,4/26/18,6/28/18,0.0012,39.833851,-74.871826
Charadrius vociferus,Killdeer,2019,New Jersey,nonbreeding,12/21/18,1/25/18,8.00E-04,39.833851,-74.871826
Charadrius vociferus,Killdeer,2019,New Jersey,postbreeding_migration,7/13/18,12/14/18,0.0019,39.833851,-74.871826
Charadrius vociferus,Killdeer,2019,New Jersey,prebreeding_migration,2/1/18,4/19/18,0.0016,39.833851,-74.871826
Charadrius vociferus,Killdeer,2019,New Mexico,breeding,4/26/18,6/28/18,0.0117,34.307144,-106.018066
Charadrius vociferus,Killdeer,2019,New Mexico,nonbreeding,12/21/18,1/25/18,0.0021,34.307144,-106.018066
Charadrius vociferus,Killdeer,2019,New Mexico,postbreeding_migration,7/13/18,12/14/18,0.0069,34.307144,-106.018066
Charadrius vociferus,Killdeer,2019,New Mexico,prebreeding_migration,2/1/18,4/19/18,0.0088,34.307144,-106.018066
Charadrius vociferus,Killdeer,2019,Nevada,breeding,4/26/18,6/28/18,0.0139,39.876019,-117.224121
Charadrius vociferus,Killdeer,2019,Nevada,nonbreeding,12/21/18,1/25/18,7.00E-04,39.876019,-117.224121
Charadrius vociferus,Killdeer,2019,Nevada,postbreeding_migration,7/13/18,12/14/18,0.0084,39.876019,-117.224121
Charadrius vociferus,Killdeer,2019,Nevada,prebreeding_migration,2/1/18,4/19/18,0.0135,39.876019,-117.224121
Charadrius vociferus,Killdeer,2019,New York,breeding,4/26/18,6/28/18,0.005,43,-75
Charadrius vociferus,Killdeer,2019,New York,nonbreeding,12/21/18,1/25/18,1.00E-04,43,-75
Charadrius vociferus,Killdeer,2019,New York,postbreeding_migration,7/13/18,12/14/18,0.0045,43,-75
Charadrius vociferus,Killdeer,2019,New York,prebreeding_migration,2/1/18,4/19/18,0.0047,43,-75
Charadrius vociferus,Killdeer,2019,Ohio,breeding,4/26/18,6/28/18,0.0139,40.367474,-82.996216
Charadrius vociferus,Killdeer,2019,Ohio,nonbreeding,12/21/18,1/25/18,0.0012,40.367474,-82.996216
Charadrius vociferus,Killdeer,2019,Ohio,postbreeding_migration,7/13/18,12/14/18,0.0176,40.367474,-82.996216
Charadrius vociferus,Killdeer,2019,Ohio,prebreeding_migration,2/1/18,4/19/18,0.0144,40.367474,-82.996216
Charadrius vociferus,Killdeer,2019,Oklahoma,breeding,4/26/18,6/28/18,0.0248,36.084621,-96.921387
Charadrius vociferus,Killdeer,2019,Oklahoma,nonbreeding,12/21/18,1/25/18,0.0071,36.084621,-96.921387
Charadrius vociferus,Killdeer,2019,Oklahoma,postbreeding_migration,7/13/18,12/14/18,0.0223,36.084621,-96.921387
Charadrius vociferus,Killdeer,2019,Oklahoma,prebreeding_migration,2/1/18,4/19/18,0.0336,36.084621,-96.921387
Charadrius vociferus,Killdeer,2019,Oregon,breeding,4/26/18,6/28/18,0.0143,44,-120.5
Charadrius vociferus,Killdeer,2019,Oregon,nonbreeding,12/21/18,1/25/18,0.0049,44,-120.5
Charadrius vociferus,Killdeer,2019,Oregon,postbreeding_migration,7/13/18,12/14/18,0.0071,44,-120.5
Charadrius vociferus,Killdeer,2019,Oregon,prebreeding_migration,2/1/18,4/19/18,0.0103,44,-120.5
Charadrius vociferus,Killdeer,2019,Pennsylvania,breeding,4/26/18,6/28/18,0.0049,41.203323,-77.194527
Charadrius vociferus,Killdeer,2019,Pennsylvania,nonbreeding,12/21/18,1/25/18,0.0014,41.203323,-77.194527
Charadrius vociferus,Killdeer,2019,Pennsylvania,postbreeding_migration,7/13/18,12/14/18,0.0058,41.203323,-77.194527
Charadrius vociferus,Killdeer,2019,Pennsylvania,prebreeding_migration,2/1/18,4/19/18,0.0063,41.203323,-77.194527
Charadrius vociferus,Killdeer,2019,Rhode Island,breeding,4/26/18,6/28/18,1.00E-04,41.700001,-71.5
Charadrius vociferus,Killdeer,2019,Rhode Island,nonbreeding,12/21/18,1/25/18,0,41.700001,-71.5
Charadrius vociferus,Killdeer,2019,Rhode Island,postbreeding_migration,7/13/18,12/14/18,2.00E-04,41.700001,-71.5
Charadrius vociferus,Killdeer,2019,Rhode Island,prebreeding_migration,2/1/18,4/19/18,1.00E-04,41.700001,-71.5
Charadrius vociferus,Killdeer,2019,South Carolina,breeding,4/26/18,6/28/18,0.0048,33.836082,-81.163727
Charadrius vociferus,Killdeer,2019,South Carolina,nonbreeding,12/21/18,1/25/18,0.0274,33.836082,-81.163727
Charadrius vociferus,Killdeer,2019,South Carolina,postbreeding_migration,7/13/18,12/14/18,0.0101,33.836082,-81.163727
Charadrius vociferus,Killdeer,2019,South Carolina,prebreeding_migration,2/1/18,4/19/18,0.0144,33.836082,-81.163727
Charadrius vociferus,Killdeer,2019,South Dakota,breeding,4/26/18,6/28/18,0.0463,44.5,-100
Charadrius vociferus,Killdeer,2019,South Dakota,nonbreeding,12/21/18,1/25/18,0,44.5,-100
Charadrius vociferus,Killdeer,2019,South Dakota,postbreeding_migration,7/13/18,12/14/18,0.0316,44.5,-100
Charadrius vociferus,Killdeer,2019,South Dakota,prebreeding_migration,2/1/18,4/19/18,0.0147,44.5,-100
Charadrius vociferus,Killdeer,2019,Tennessee,breeding,4/26/18,6/28/18,0.0087,35.860119,-86.660156
Charadrius vociferus,Killdeer,2019,Tennessee,nonbreeding,12/21/18,1/25/18,0.0348,35.860119,-86.660156
Charadrius vociferus,Killdeer,2019,Tennessee,postbreeding_migration,7/13/18,12/14/18,0.0178,35.860119,-86.660156
Charadrius vociferus,Killdeer,2019,Tennessee,prebreeding_migration,2/1/18,4/19/18,0.0201,35.860119,-86.660156
Charadrius vociferus,Killdeer,2019,Texas,breeding,4/26/18,6/28/18,0.075,31,-100
Charadrius vociferus,Killdeer,2019,Texas,nonbreeding,12/21/18,1/25/18,0.1224,31,-100
Charadrius vociferus,Killdeer,2019,Texas,postbreeding_migration,7/13/18,12/14/18,0.0875,31,-100
Charadrius vociferus,Killdeer,2019,Texas,prebreeding_migration,2/1/18,4/19/18,0.108,31,-100
Charadrius vociferus,Killdeer,2019,Utah,breeding,4/26/18,6/28/18,0.006,39.41922,-111.950684
Charadrius vociferus,Killdeer,2019,Utah,nonbreeding,12/21/18,1/25/18,0.0019,39.41922,-111.950684
Charadrius vociferus,Killdeer,2019,Utah,postbreeding_migration,7/13/18,12/14/18,0.0078,39.41922,-111.950684
Charadrius vociferus,Killdeer,2019,Utah,prebreeding_migration,2/1/18,4/19/18,0.0041,39.41922,-111.950684
Charadrius vociferus,Killdeer,2019,Virginia,breeding,4/26/18,6/28/18,0.004,37.926868,-78.024902
Charadrius vociferus,Killdeer,2019,Virginia,nonbreeding,12/21/18,1/25/18,0.0118,37.926868,-78.024902
Charadrius vociferus,Killdeer,2019,Virginia,postbreeding_migration,7/13/18,12/14/18,0.007,37.926868,-78.024902
Charadrius vociferus,Killdeer,2019,Virginia,prebreeding_migration,2/1/18,4/19/18,0.0078,37.926868,-78.024902
Charadrius vociferus,Killdeer,2019,Vermont,breeding,4/26/18,6/28/18,4.00E-04,44,-72.699997
Charadrius vociferus,Killdeer,2019,Vermont,nonbreeding,12/21/18,1/25/18,0,44,-72.699997
Charadrius vociferus,Killdeer,2019,Vermont,postbreeding_migration,7/13/18,12/14/18,2.00E-04,44,-72.699997
Charadrius vociferus,Killdeer,2019,Vermont,prebreeding_migration,2/1/18,4/19/18,3.00E-04,44,-72.699997
Charadrius vociferus,Killdeer,2019,Washington,breeding,4/26/18,6/28/18,0.0088,47.751076,-120.740135
Charadrius vociferus,Killdeer,2019,Washington,nonbreeding,12/21/18,1/25/18,0.002,47.751076,-120.740135
Charadrius vociferus,Killdeer,2019,Washington,postbreeding_migration,7/13/18,12/14/18,0.006,47.751076,-120.740135
Charadrius vociferus,Killdeer,2019,Washington,prebreeding_migration,2/1/18,4/19/18,0.007,47.751076,-120.740135
Charadrius vociferus,Killdeer,2019,Wisconsin,breeding,4/26/18,6/28/18,0.01,44.5,-89.5
Charadrius vociferus,Killdeer,2019,Wisconsin,nonbreeding,12/21/18,1/25/18,0,44.5,-89.5
Charadrius vociferus,Killdeer,2019,Wisconsin,postbreeding_migration,7/13/18,12/14/18,0.0063,44.5,-89.5
Charadrius vociferus,Killdeer,2019,Wisconsin,prebreeding_migration,2/1/18,4/19/18,0.006,44.5,-89.5
Charadrius vociferus,Killdeer,2019,West Virginia,breeding,4/26/18,6/28/18,9.00E-04,39,-80.5
Charadrius vociferus,Killdeer,2019,West Virginia,nonbreeding,12/21/18,1/25/18,4.00E-04,39,-80.5
Charadrius vociferus,Killdeer,2019,West Virginia,postbreeding_migration,7/13/18,12/14/18,8.00E-04,39,-80.5
Charadrius vociferus,Killdeer,2019,West Virginia,prebreeding_migration,2/1/18,4/19/18,0.0014,39,-80.5
Charadrius vociferus,Killdeer,2019,Wyoming,breeding,4/26/18,6/28/18,0.0176,43.07597,-107.290283
Charadrius vociferus,Killdeer,2019,Wyoming,nonbreeding,12/21/18,1/25/18,0,43.07597,-107.290283
Charadrius vociferus,Killdeer,2019,Wyoming,postbreeding_migration,7/13/18,12/14/18,0.009,43.07597,-107.290283
Charadrius vociferus,Killdeer,2019,Wyoming,prebreeding_migration,2/1/18,4/19/18,0.0063,43.07597,-107.290283